Hormone,_c1,Organ
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,dopamine
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Allopregnanolone
NADP+,isPrecursorToName,NADPH
"5beta-pregnane-3,20-dione",isPrecursorToName,3a-OH-5b-Pregnane-20-one
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnenolone
17-hydroxypregnenolone,isPrecursorToName,Pregnenetriol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Tetrahydrocortisone
Cortisone,isPrecursorToName,"4,5beta-Dihydrocortisone"
17-hydroxyprogesterone,isPrecursorToName,21-deoxycortisol
Corticosterone,isPrecursorToName,11-Dehydrocorticosterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"5alpha-pregnane-3,20-dione"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,11-Deoxycortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,20alpha-Dihydrocortisone
"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione",isPrecursorToName,Tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,11beta-HSD2
Pregnanediol,isPrecursorToName,Pregnanediol-3-glucuronide
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Estriol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,18-oxo-dihydrocortisol
18-oxo-dihydrocortisol,isPrecursorToName,18-oxo-tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,5alpha-Tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,beta-cortolic acid
Cholesterol,isPrecursorToName,Pregnenolone
Tetrahydrocortisone,isPrecursorToName,11-Ketoetiocholanolone
11-Deoxycortisol,isPrecursorToName,Cortisol
Cortisol,isPrecursorToName,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione"
20beta-hydroxycortisol,isPrecursorToName,"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one"
5beta-dihydrodeoxycorticosterone,isPrecursorToName,Tetrahydrodeoxycorticosterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Cholesterol
"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione",isPrecursorToName,Pregnanetriolone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Isoprogesterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnanetriolone
18-hydroxycorticosterone,isPrecursorToName,Aldosterone
21-deoxycortisol,isPrecursorToName,21-Deoxycortisone
Progesterone,isPrecursorToName,17-hydroxyprogesterone
Tetrahydrocortisol,isPrecursorToName,alpha-Cortol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,20alpha-Hydroxyprogesterone
5alpha-Dihydrocortisol,isPrecursorToName,5alpha-Tetrahydrocortisol
"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione",isPrecursorToName,Cortolonic acid
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,alpha-cortolone
3alpha-hydroxy-5beta-pregnan-20-one,isPrecursorToName,Pregnanediol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,17-beta-HSD3
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Oestradiol
Tetrahydrocortisone,isPrecursorToName,Cortolonic acid
Cortisol,isPrecursorToName,20alpha-Hydroxycortisol
Dehydroepiandrosterone,isPrecursorToName,Androstenedione
Tetrahydrocortisol,isPrecursorToName,beta-cortolic acid
"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one",isPrecursorToName,beta-cortol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,20beta-hydroxycortisol
5beta-Dihydrocorticosterone,isPrecursorToName,Tetrahydrocorticosterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Allotetrahydrocortisone
"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione",isPrecursorToName,alpha-cortolone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Calcidiol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,11beta-HSD1
21-Deoxycortisone,isPrecursorToName,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
3a-OH-5b-Pregnane-20-one,isPrecursorToName,Pregnanediol
Tetrahydrocortisone,isPrecursorToName,Pregnanetriolone
Tetrahydrocortisone,isPrecursorToName,beta-cortolonic acid
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Dexamethasone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,18-oxocortisol
Pregnenolone,isPrecursorToName,Pregnenediol b
Isoprogesterone,isPrecursorToName,Progesterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Cortolic acid
"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al",isPrecursorToName,Glucuronides
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,3a-OH-5b-Pregnane-20-one
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnanediol-3-glucuronide
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,11beta-Hydroxyetiocholanolone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"5beta-pregnane-3,20-dione"
Pregnenolone,isPrecursorToName,Isoprogesterone
"11β,18,21-trihydroxy-5β-pregnan-3,20-dione",isPrecursorToName,"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one"
Estradiol,secretedBy,Adrenal Gland
dopamine,secretedBy,Gastro Intest
norepinephrine,secretedBy,Brain
Epitestosterone,secretedBy,Ovary
Estriol,secretedBy,Placenta
Testosterone,secretedBy,Adrenal Gland
17-hydroxyprogesterone,secretedBy,Ovary
dopamine,secretedBy,Hypthalamus
Estrone,secretedBy,Adrenal Gland
Estradiol,secretedBy,Ovary
Estrone,secretedBy,Ovary
Estrone,secretedBy,Testes
Epitestosterone,secretedBy,Adrenal Gland
Estradiol,secretedBy,Testes
17-hydroxyprogesterone,secretedBy,Testes
