B00348,First Regional Bank,Los Angeles
B00354,Evergreen Bank,Seattle
B00355,Charter Bank,Santa Fe
B00356,Bank of Leeton,Leeton
B00364,Independent Bankers' Bank,Springfield
B00367,Peoples First Community Bank,Panama City
B00369,SolutionsBank,Overland Park
B00379,Pacific Coast National Bank,San Clemente
B00385,Home Federal Savings Bank,Detroit
B00392,California National Bank,Los Angeles
B00393,San Diego National Bank,San Diego
B00396,First DuPage Bank,Westmont
B00398,Bank of Elmwood,Racine
B00401,American United Bank,Lawrenceville
B00403,San Joaquin Bank,Bakersfield
B00412,Corus Bank,N.A.
B00414,Platinum Community Bank,Rolling Meadows
B00417,First Bank of Kansas City,Kansas City
B00418,Affinity Bank,Ventura
B00424,ebank,Atlanta
B00425,Community Bank of Nevada,Las Vegas
B00426,Community Bank of Arizona,Phoenix
B00428,Colonial Bank,Montgomery
B00430,Community First Bank,Prineville
B00432,First State Bank,Sarasota
B00434,First BankAmericano,Elizabeth
B00435,Peoples Community Bank,West Chester
B00442,Security Bank of North Fulton,Alpharetta
B00446,Vineyard Bank,Rancho Cucamonga
B00449,Bank of Wyoming,Thermopolis
B00450,Founders Bank,Worth
B00453,Elizabeth State Bank,Elizabeth
B00455,First State Bank of Winchester,Winchester
B00457,Mirae Bank,Los Angeles
B00462,First National Bank of Anthony,Anthony
B00464,Southern Community Bank,Fayetteville
B00466,Citizens National Bank,Macomb
B00470,America West Bank,Layton
B00480,Cape Fear Bank,Wilmington
B00487,Heritage Community Bank,Glenwood
B00496,Ocala National Bank,Ocala
B00500,Bank of Clark County,Vancouver
B00506,Downey Savings & Loan,Newport Beach
B00510,Freedom Bank,Bradenton
B00515,Ameribank,Northfork
B00521,First National Bank of Nevada,Reno
B00524,ANB Financial,NA
B00525,Hume Bank,Hume
B00526,Douglass National Bank,Kansas City
B00530,Bank of Ephraim,Ephraim
B00531,Reliance Bank,White Plains
B00533,Dollar Savings Bank,Newark
B00539,AmTrade International Bank,Atlanta
B00542,New Century Bank,Shelby Township
B00543,Net 1st National Bank,Boca Raton
B00552,National State Bank of Metropolis,Metropolis
B0018,Highland Community Bank,Chicago
B0020,Northern Star Bank,Mankato
B0025,Eastside Commercial Bank,Conyers
B0026,The Freedom State Bank,Freedom
B0027,Valley Bank,Fort Lauderdale
B0028,Valley Bank,Moline
B0033,Vantage Point Bank,Horsham
B0039,Bank of Jackson County,Graceville
B0047,1st Commerce Bank,North Las Vegas
B0048,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha
B0049,Central Arizona Bank,Scottsdale
B0050,Sunrise Bank,Valdosta
B0051,Pisgah Community Bank,Asheville
B0055,Heritage Bank of North Florida,Orange Park
B0056,First Federal Bank,Lexington
B0060,1st Regents Bank,Andover
B0061,Westside Community Bank,University Place
B0062,Community Bank of the Ozarks,Sunrise Beach
B0079,The Royal Palm Bank of Florida,Naples
B0084,Putnam State Bank,Palatka
B0087,Carolina Federal Savings Bank,Charleston
B0088,First Capital Bank,Kingfisher
B0091,Palm Desert National Bank,Palm Desert
B0099,Covenant Bank & Trust,Rock Spring
B00100,New City Bank,Chicago
B00107,Patriot Bank Minnesota,Forest Lake
B00112,Central Florida State Bank,Belleview
B00113,Western National Bank,Phoenix
B00122,Community Capital Bank,Jonesboro
B00126,First State Bank,Cranford
B00129,Sun Security Bank,Ellington
B00132,Citizens Bank of Northern California,Nevada City
B00137,First Choice Bank,Geneva
B00139,Lydian Private Bank,Palm Beach
B00140,Public Savings Bank,Huntingdon Valley
