Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(2583|214),partOfTransitive(2583|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2583|3),partOfTransitive(2583|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2583|760),partOf(2583|760),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2583|catalytic_receptor),partOfTransitive(2583|760),partOf(760|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2583|gpcr),partOfTransitive(2583|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2583|transporter),partOfTransitive(2583|151),partOf(151|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|1),partOfTransitive(2584|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|1111),partOfTransitive(2584|153),partOf(153|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|153),partOfTransitive(2584|783),partOf(783|153),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|20),partOfTransitive(2584|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|214),partOfTransitive(2584|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|3),partOfTransitive(2584|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|783),partOf(2584|783),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2584|gpcr),partOfTransitive(2584|1111),partOf(1111|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|other_protein),partOfTransitive(2584|783),partOf(783|other_protein),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2584|transporter),partOfTransitive(2584|153),partOf(153|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|1),partOfTransitive(2585|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|1113),partOfTransitive(2585|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|156),partOfTransitive(2585|797),partOf(797|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|20),partOfTransitive(2585|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|214),partOfTransitive(2585|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|3),partOfTransitive(2585|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|797),partOf(2585|797),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2585|catalytic_receptor),partOfTransitive(2585|797),partOf(797|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|gpcr),partOfTransitive(2585|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2585|transporter),partOfTransitive(2585|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|1),partOfTransitive(2586|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|1113),partOfTransitive(2586|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|156),partOfTransitive(2586|797),partOf(797|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|20),partOfTransitive(2586|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|214),partOfTransitive(2586|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|3),partOfTransitive(2586|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|797),partOf(2586|797),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2586|catalytic_receptor),partOfTransitive(2586|797),partOf(797|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|gpcr),partOfTransitive(2586|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2586|transporter),partOfTransitive(2586|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|1),partOfTransitive(2587|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|1113),partOfTransitive(2587|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|156),partOfTransitive(2587|797),partOf(797|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|20),partOfTransitive(2587|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|214),partOfTransitive(2587|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|3),partOfTransitive(2587|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|797),partOf(2587|797),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2587|catalytic_receptor),partOfTransitive(2587|797),partOf(797|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|gpcr),partOfTransitive(2587|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2587|transporter),partOfTransitive(2587|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|1),partOfTransitive(2588|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|1113),partOfTransitive(2588|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|156),partOfTransitive(2588|797),partOf(797|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|20),partOfTransitive(2588|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|214),partOfTransitive(2588|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|3),partOfTransitive(2588|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|797),partOf(2588|797),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2588|catalytic_receptor),partOfTransitive(2588|797),partOf(797|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|gpcr),partOfTransitive(2588|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2588|transporter),partOfTransitive(2588|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|1),partOfTransitive(2589|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|1113),partOfTransitive(2589|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|156),partOfTransitive(2589|797),partOf(797|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|20),partOfTransitive(2589|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|214),partOfTransitive(2589|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|3),partOfTransitive(2589|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|797),partOf(2589|797),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2589|catalytic_receptor),partOfTransitive(2589|797),partOf(797|catalytic_receptor),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|gpcr),partOfTransitive(2589|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2589|transporter),partOfTransitive(2589|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(258|1),partOfTransitive(258|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(258|18),partOf(258|18),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(258|3),partOfTransitive(258|18),partOf(18|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(258|gpcr),partOfTransitive(258|18),partOf(18|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|1),partOfTransitive(2590|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|1113),partOfTransitive(2590|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|156),partOfTransitive(2590|799),partOf(799|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|20),partOfTransitive(2590|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|214),partOfTransitive(2590|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|3),partOfTransitive(2590|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|799),partOf(2590|799),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2590|enzyme),partOfTransitive(2590|799),partOf(799|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|gpcr),partOfTransitive(2590|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2590|transporter),partOfTransitive(2590|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|1),partOfTransitive(2591|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|1113),partOfTransitive(2591|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|156),partOfTransitive(2591|799),partOf(799|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|20),partOfTransitive(2591|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|214),partOfTransitive(2591|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|3),partOfTransitive(2591|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|799),partOf(2591|799),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2591|enzyme),partOfTransitive(2591|799),partOf(799|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|gpcr),partOfTransitive(2591|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2591|transporter),partOfTransitive(2591|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|1),partOfTransitive(2592|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|1113),partOfTransitive(2592|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|156),partOfTransitive(2592|799),partOf(799|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|20),partOfTransitive(2592|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|214),partOfTransitive(2592|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|3),partOfTransitive(2592|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|799),partOf(2592|799),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2592|enzyme),partOfTransitive(2592|799),partOf(799|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|gpcr),partOfTransitive(2592|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2592|transporter),partOfTransitive(2592|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|1),partOfTransitive(2593|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|1113),partOfTransitive(2593|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|156),partOfTransitive(2593|799),partOf(799|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|20),partOfTransitive(2593|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|214),partOfTransitive(2593|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|3),partOfTransitive(2593|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|799),partOf(2593|799),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2593|enzyme),partOfTransitive(2593|799),partOf(799|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|gpcr),partOfTransitive(2593|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2593|transporter),partOfTransitive(2593|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|1),partOfTransitive(2594|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|1111),partOfTransitive(2594|153),partOf(153|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|153),partOf(2594|153),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2594|20),partOfTransitive(2594|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|214),partOfTransitive(2594|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|3),partOfTransitive(2594|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|gpcr),partOfTransitive(2594|1111),partOf(1111|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2594|transporter),partOfTransitive(2594|153),partOf(153|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|1),partOfTransitive(2595|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|1113),partOfTransitive(2595|159),partOf(159|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|159),partOfTransitive(2595|840),partOf(840|159),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|20),partOfTransitive(2595|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|214),partOfTransitive(2595|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|3),partOfTransitive(2595|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|840),partOf(2595|840),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2595|enzyme),partOfTransitive(2595|840),partOf(840|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|gpcr),partOfTransitive(2595|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2595|transporter),partOfTransitive(2595|159),partOf(159|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|1),partOfTransitive(2596|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|1113),partOfTransitive(2596|159),partOf(159|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|159),partOfTransitive(2596|841),partOf(841|159),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|20),partOfTransitive(2596|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|214),partOfTransitive(2596|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|3),partOfTransitive(2596|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|841),partOf(2596|841),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2596|enzyme),partOfTransitive(2596|841),partOf(841|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|gpcr),partOfTransitive(2596|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2596|transporter),partOfTransitive(2596|159),partOf(159|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|1),partOfTransitive(2597|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|1113),partOfTransitive(2597|159),partOf(159|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|159),partOfTransitive(2597|842),partOf(842|159),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|20),partOfTransitive(2597|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|214),partOfTransitive(2597|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|3),partOfTransitive(2597|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|842),partOf(2597|842),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2597|enzyme),partOfTransitive(2597|842),partOf(842|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|gpcr),partOfTransitive(2597|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2597|transporter),partOfTransitive(2597|159),partOf(159|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|1),partOfTransitive(2598|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|1113),partOfTransitive(2598|159),partOf(159|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|159),partOfTransitive(2598|842),partOf(842|159),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|20),partOfTransitive(2598|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|214),partOfTransitive(2598|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|3),partOfTransitive(2598|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|842),partOf(2598|842),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2598|enzyme),partOfTransitive(2598|842),partOf(842|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|gpcr),partOfTransitive(2598|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2598|transporter),partOfTransitive(2598|159),partOf(159|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|1),partOfTransitive(2599|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|1113),partOfTransitive(2599|159),partOf(159|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|159),partOfTransitive(2599|842),partOf(842|159),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|20),partOfTransitive(2599|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|214),partOfTransitive(2599|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|3),partOfTransitive(2599|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|842),partOf(2599|842),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2599|enzyme),partOfTransitive(2599|842),partOf(842|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|gpcr),partOfTransitive(2599|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2599|transporter),partOfTransitive(2599|159),partOf(159|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(259|1),partOfTransitive(259|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(259|18),partOf(259|18),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(259|3),partOfTransitive(259|18),partOf(18|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(259|enzyme),partOf(259|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(259|gpcr),partOfTransitive(259|18),partOf(18|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(25|1),partOfTransitive(25|4),partOf(4|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(25|4),partOf(25|4),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(25|gpcr),partOf(25|gpcr),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2600|1),partOfTransitive(2600|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|161),partOfTransitive(2600|852),partOf(852|161),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|17),partOfTransitive(2600|184),partOf(184|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|184),partOfTransitive(2600|975),partOf(975|184),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|2),partOfTransitive(2600|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|852),partOf(2600|852),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2600|975),partOfTransitive(2600|161),partOf(161|975),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|gpcr),partOfTransitive(2600|975),partOf(975|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|other_protein),partOfTransitive(2600|852),partOf(852|other_protein),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2600|transporter),partOfTransitive(2600|161),partOf(161|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|1),partOfTransitive(2601|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|1000),partOf(2601|1000),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(2601|161),partOfTransitive(2601|852),partOf(852|161),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|17),partOfTransitive(2601|181),partOf(181|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|181),partOfTransitive(2601|949),partOf(949|181),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|184),partOfTransitive(2601|975),partOf(975|184),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(2601|188),partOfTransitive(2601|1000),partOf(1000|188),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
