Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1019|2),partOfTransitive(1019|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1019|gpcr),partOfTransitive(1019|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1019|other_protein),partOf(1019|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1019|transporter),partOfTransitive(1019|196),partOf(196|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|1),partOfTransitive(101|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|1113),partOf(101|1113),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(101|20),partOfTransitive(101|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|214),partOfTransitive(101|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|3),partOfTransitive(101|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|gpcr),partOfTransitive(101|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(101|nhr),partOf(101|nhr),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(101|transporter),partOfTransitive(101|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1020|1),partOfTransitive(1020|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1020|17),partOfTransitive(1020|196),partOf(196|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1020|196),partOf(1020|196),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1020|2),partOfTransitive(1020|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1020|enzyme),partOf(1020|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1020|gpcr),partOfTransitive(1020|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1020|transporter),partOfTransitive(1020|196),partOf(196|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1021|1),partOfTransitive(1021|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1021|17),partOfTransitive(1021|196),partOf(196|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1021|196),partOf(1021|196),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1021|2),partOfTransitive(1021|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1021|gpcr),partOfTransitive(1021|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1021|other_protein),partOf(1021|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1021|transporter),partOfTransitive(1021|196),partOf(196|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1022|1),partOfTransitive(1022|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1022|17),partOfTransitive(1022|197),partOf(197|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1022|197),partOf(1022|197),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1022|2),partOfTransitive(1022|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1022|gpcr),partOfTransitive(1022|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1022|transporter),partOfTransitive(1022|197),partOf(197|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1023|1),partOfTransitive(1023|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1023|17),partOfTransitive(1023|197),partOf(197|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1023|197),partOf(1023|197),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1023|2),partOfTransitive(1023|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
