MasterID,Mesor_hat,AmplitudeHat,AcrophaseHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
235,4.85535291455256,-3.8151450767109276,6.922634027062369,17.121,0.892,8.0,1.3333333333333333,17.333333333333332,8.921,3.495,8.921,8.921,17.121,4.527,17.121,17.121,True,True
237,4.147643776242366,-2.8780975374054725,6.922634027062369,9.419,0.698,11.0,23.666666666666668,12.666666666666668,6.834,3.921,6.834,6.834,9.419,7.461,9.419,9.419,True,True
239,5.25517894572728,-4.1872817012460155,6.922634027062369,15.198,1.332,8.333333333333334,1.6666666666666665,17.333333333333336,9.076,6.029,9.076,9.076,15.198,7.362,15.198,15.198,True,True
241,4.798600719370114,-4.5669496953386695,6.922634027062369,15.454,0.58,8.0,2.6666666666666665,18.666666666666668,9.761,4.499,9.761,9.761,15.454,6.125,15.454,15.454,True,True
247,3.4590114115614736,-2.852965208057097,6.922634027062369,11.615,0.292,9.666666666666666,3.3333333333333335,17.666666666666664,6.491,2.839,6.491,6.491,11.615,3.747,11.615,11.615,True,True
255,2.7231082635066923,-2.7529652970379237,6.922634027062369,10.095,0.298,9.0,1.0,16.0,6.645,1.644,6.645,6.645,10.095,3.442,10.095,10.095,True,True
257,3.712560904173162,-1.6085964914637703,6.922634027062369,7.778,0.601,9.666666666666666,2.0,16.333333333333336,5.404,3.194,5.404,5.404,7.778,3.816,7.778,7.778,True,True
263,5.221666866873657,-3.359266588710204,6.922634027062369,15.383,0.679,7.333333333333333,22.333333333333332,15.0,8.519,3.475,8.519,8.519,15.383,4.419,15.383,15.383,True,True
265,3.839697815205468,-3.0587742589852294,6.922634027062369,12.392,0.348,7.333333333333333,21.666666666666668,14.333333333333336,5.84,2.905,5.84,5.84,12.392,6.092,12.392,12.392,True,True
267,2.117405100866338,-2.902577187060216,6.922634027062369,9.148,0.227,11.333333333333334,4.0,16.666666666666664,6.076,3.504,6.076,6.076,9.148,5.44,9.148,9.148,True,True
271,3.9011898556085978,-3.7972592584127876,6.922634027062369,13.964,0.223,7.666666666666667,0.6666666666666666,17.0,9.139,2.381,9.139,9.139,13.964,2.817,13.964,13.964,True,True
275,2.9120459021044307,2.3332266754855246,6.922634027062369,8.765,0.359,7.666666666666667,22.333333333333332,14.666666666666664,4.974,1.481,4.974,4.974,8.765,2.002,8.765,8.765,True,True
285,4.958286916059496,5.879838980302706,6.922634027062369,19.783,0.395,7.666666666666667,0.0,16.333333333333332,11.505,2.712,11.505,11.505,19.783,3.805,19.783,19.783,True,True
289,6.86168346218965,6.094900674579315,6.922634027062369,26.029,0.663,7.333333333333333,20.666666666666668,13.333333333333336,12.025,1.96,12.025,12.025,26.029,4.935,26.029,26.029,True,True
291,2.5469588308795723,-2.8238400894440816,6.922634027062369,11.257,0.719,9.0,1.6666666666666665,16.666666666666668,5.094,2.811,5.094,5.094,11.257,3.567,11.257,11.257,True,True
293,2.1916804983098386,-0.7468121186595731,6.922634027062369,4.57,0.314,21.0,4.0,7.0,2.354,2.1,2.354,2.354,4.368,3.135,4.368,4.368,False,True
301,4.639236057174784,2.6145578699239262,6.922634027062369,13.671,0.807,6.666666666666667,11.666666666666666,4.999999999999999,6.631,1.961,6.631,6.631,13.671,2.258,13.671,13.671,True,True
303,2.930619403680672,-2.806012878514287,6.922634027062369,10.537,0.303,7.333333333333333,22.666666666666668,15.333333333333336,6.583,1.619,6.583,6.583,10.537,2.13,10.537,10.537,True,True
305,5.776391308653932,-5.223777414119511,6.922634027062369,20.214,0.722,6.666666666666667,1.3333333333333333,18.666666666666664,11.418,4.328,11.418,11.418,20.214,5.405,20.214,20.214,True,True
307,4.406746379443898,-2.6125569167224487,6.922634027062369,15.127,0.491,7.333333333333333,2.6666666666666665,19.333333333333336,6.125,2.231,6.125,6.125,15.127,2.805,15.127,15.127,True,True
317,5.169876816915959,-4.149596076506617,6.922634027062369,17.515,0.991,8.0,2.3333333333333335,18.333333333333332,10.247,3.779,10.247,10.247,17.515,4.953,17.515,17.515,True,True
321,3.5533500282995663,-2.5034725625608014,6.922634027062369,11.869,0.127,7.0,1.3333333333333333,18.333333333333332,4.931,2.054,4.931,4.931,11.869,2.603,11.869,11.869,True,True
323,5.42415597912056,-2.853831576179818,6.922634027062369,16.234,0.591,7.333333333333333,1.6666666666666665,18.333333333333336,6.906,3.921,6.906,6.906,16.234,4.979,16.234,16.234,True,True
329,6.784339907015787,-4.215389034168634,6.922634027062369,22.002,0.384,7.333333333333333,23.333333333333332,16.0,7.853,4.89,7.853,7.853,22.002,7.208,22.002,22.002,True,True
331,3.4841259289509607,2.280506221769993,6.922634027062369,12.048,0.609,7.0,1.0,18.0,4.894,2.238,4.894,4.894,12.048,2.827,12.048,12.048,True,True
333,5.010976430673557,-2.5872988901604956,6.922634027062369,10.314,0.72,19.0,3.3333333333333335,8.333333333333332,5.094,3.82,5.094,5.094,8.281,4.764,8.281,8.281,False,True
335,5.858837116788896,-2.741455701208048,6.922634027062369,17.74,0.957,8.666666666666666,22.666666666666668,14.000000000000002,6.95,3.566,6.95,6.95,17.74,5.003,17.74,17.74,True,True
341,4.4698564795844895,-3.0149561577942112,6.922634027062369,12.719,0.558,6.333333333333333,1.6666666666666665,19.333333333333336,6.691,3.911,6.691,6.691,12.719,5.104,12.719,12.719,True,True
345,4.930616012096375,3.369077876917699,6.922634027062369,16.359,0.423,7.0,22.333333333333332,15.333333333333332,5.521,3.087,5.521,5.521,16.359,6.008,16.359,16.359,True,True
351,2.2404160272441866,-1.499796018141896,6.922634027062369,5.86,0.534,8.666666666666666,3.3333333333333335,18.666666666666664,3.424,1.659,3.424,3.424,5.86,2.692,5.86,5.86,True,True
353,4.655190339944827,-3.290865791660833,6.922634027062369,12.248,0.445,9.666666666666666,23.0,13.333333333333334,7.696,3.226,7.696,7.696,12.248,6.955,12.248,12.248,True,True
357,3.3664324332291486,3.0597835352907907,6.922634027062369,10.806,0.484,6.666666666666667,23.333333333333332,16.666666666666664,4.623,2.249,4.623,4.623,10.806,4.9,10.806,10.806,True,True
361,1.9154429644305933,-1.4085231408682506,6.922634027062369,6.658,0.307,7.666666666666667,1.6666666666666665,18.0,3.09,1.227,3.09,3.09,6.658,2.128,6.658,6.658,True,True
365,7.1605062151233385,-3.9026438375498342,6.922634027062369,19.425,1.502,6.333333333333333,2.3333333333333335,20.0,9.775,4.437,9.775,9.775,19.425,5.929,19.425,19.425,True,True
367,9.398643208495166,-5.170065792570942,6.922634027062369,22.093,1.944,7.666666666666667,1.6666666666666665,18.0,16.888,6.8375,16.888,16.888,22.093,9.884,22.093,22.093,True,True
377,1.480075339637142,-2.033489762134735,6.922634027062369,6.875,0.22,10.333333333333334,2.6666666666666665,16.333333333333336,4.466,1.358,4.466,4.466,6.875,1.75,6.875,6.875,True,True
379,4.85070500804045,4.454387713789058,6.922634027062369,20.429,0.765,8.0,22.333333333333332,14.333333333333332,7.523,2.55,7.523,7.523,20.429,4.305,20.429,20.429,True,True
391,6.775514846753217,-4.17340642908104,6.922634027062369,17.719,1.126,8.0,0.3333333333333333,16.333333333333332,10.281,4.834,10.281,10.281,17.719,9.142,17.719,17.719,True,True
407,4.253626537754131,-2.6232086849976475,6.922634027062369,13.598,0.829,7.0,0.3333333333333333,17.333333333333332,6.11,2.095,6.11,6.11,13.598,5.195,13.598,13.598,True,True
427,4.595358126036841,1.7231851063391017,6.922634027062369,14.848,0.806,7.0,2.3333333333333335,19.333333333333332,5.356,2.241,5.356,5.356,14.848,2.83,14.848,14.848,True,True
437,5.860865412060095,-4.72309188389503,6.922634027062369,22.267,1.064,7.666666666666667,22.0,14.333333333333332,10.262,4.467,10.262,10.262,22.267,8.263,22.267,22.267,True,True
447,2.6364044532754165,-3.2723090986102408,6.922634027062369,12.86,0.29,10.333333333333334,5.0,18.666666666666664,8.59,2.88,8.59,8.59,12.86,6.71,12.86,12.86,False,True
451,7.29001076815001,-3.0962619528774527,6.922634027062369,15.845,1.895,7.333333333333333,18.666666666666668,11.333333333333336,10.334,4.25,10.334,10.334,15.845,7.188,15.845,15.845,True,True
463,4.296836349016276,-3.385558266675261,6.922634027062369,17.83,0.688,9.0,5.666666666666667,20.666666666666668,7.028,4.705,7.028,7.028,17.83,5.938,17.83,17.83,True,True
465,1.7996270335336768,-1.579893402875001,6.922634027062369,6.31,0.28,9.333333333333334,4.666666666666667,19.333333333333336,3.64,2.1,3.64,3.64,6.31,2.79,6.31,6.31,True,True
469,6.262091557956914,-3.8075119787296847,6.922634027062369,17.26,1.12,7.666666666666667,3.3333333333333335,19.666666666666664,9.49,4.05,9.49,9.49,17.26,12.18,17.26,17.26,True,True
487,3.5969224591291313,3.0241120425488286,6.922634027062369,12.022,0.443,7.333333333333333,21.666666666666668,14.333333333333336,7.302,1.649,7.302,7.302,12.022,2.43,12.022,12.022,True,True
491,3.0144100252768773,-2.5956607113544936,6.922634027062369,10.391,0.333,7.666666666666667,1.0,17.333333333333332,5.609,1.738,5.609,5.609,10.391,2.629,10.391,10.391,True,True
497,4.240285611324674,-3.3656425846429605,6.922634027062369,12.997,0.81,8.0,1.0,17.0,7.307,4.291,7.307,7.307,12.997,5.523,12.997,12.997,True,True
503,3.5616331096539757,-2.948940198780319,6.922634027062369,12.272,0.567,8.333333333333334,5.333333333333333,21.0,7.676,3.305,7.676,7.676,12.272,7.508,12.272,12.272,True,True
